arquivo,fonte,modalidade,unidade_integridade,split,observation_id,photo_id,colonia,video_id,frame,sessao_captura,data_captura,n_mandacaia,n_entrada,n_instancias,licenca,quality_grade,atribuicao,url
VID_20260108_072446_0001_jpg.rf.fb5450fc458399f4fb95534688388d93.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,1,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0003_jpg.rf.91b784377e4b4b2ca62180f951ba80bf.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,3,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0004_jpg.rf.a2dbc04d481d0355ac36b1a1ac225164.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,4,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0005_jpg.rf.2411ce01997b64e0ec6eb1db41133e04.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,5,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0006_jpg.rf.7c073144cbedc80a0a1d5ee7dd46caa8.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,6,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0030_jpg.rf.a8c93205bb2e71a56458ae9c92ea78f5.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,30,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0031_jpg.rf.49d586ca6d530ecdc512ff93df9349db.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,31,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0032_jpg.rf.c72aca32ac42378d3f68b71696ca785b.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,32,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0033_jpg.rf.02968d4971ef20ea3b7bd8eb7fe21edf.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,33,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0063_jpg.rf.b79e4f811d7927ebd26c1d4cf25a48c4.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,63,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0091_jpg.rf.a632421b042dd30722b7f8e1c118748b.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,91,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0092_jpg.rf.ee59fd5a870a7635afa0654d8df56d58.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,92,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0093_jpg.rf.d09961923524ccb23ab8dd1b8a5175d8.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,93,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0094_jpg.rf.ebd17317cbae267221506fa4687b3d8d.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,94,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
VID_20260108_072446_0122_jpg.rf.4c83dcea46e02567003ac87bbeb945cc.jpg,acervo_autor,frame_video,colonia:caixa_01,treino,,,caixa_01,VID_20260108_072446,122,,2026-01-08,1,1,2,cc-by-nc-sa,curadoria_manual,Lucas Dominguez Cordeiro,
